Date,Turnover
Apr-1982,1162.6
May-1982,1150.9
Jun-1982,1160.0
Jul-1982,1206.4
Aug-1982,1152.5
Sep-1982,1189.1
Oct-1982,1247.4
Nov-1982,1280.7
Dec-1982,1483.7
Jan-1983,1202.8
Feb-1983,1224.2
Mar-1983,1332.4
Apr-1983,1270.9
May-1983,1251.7
Jun-1983,1269.3
Jul-1983,1292.8
Aug-1983,1337.0
Sep-1983,1322.8
Oct-1983,1355.4
Nov-1983,1410.9
Dec-1983,1642.3
Jan-1984,1314.5
Feb-1984,1335.4
Mar-1984,1388.8
Apr-1984,1346.5
May-1984,1404.3
Jun-1984,1367.6
Jul-1984,1361.6
Aug-1984,1436.7
Sep-1984,1355.6
Oct-1984,1462.7
Nov-1984,1501.4
Dec-1984,1686.6
Jan-1985,1484.7
Feb-1985,1397.0
Mar-1985,1495.0
Apr-1985,1474.9
May-1985,1556.8
Jun-1985,1453.7
Jul-1985,1558.6
Aug-1985,1585.7
Sep-1985,1518.0
Oct-1985,1655.7
Nov-1985,1667.3
Dec-1985,1867.3
Jan-1986,1674.4
Feb-1986,1558.5
Mar-1986,1676.6
Apr-1986,1643.7
May-1986,1746.5
Jun-1986,1638.5
Jul-1986,1721.8
Aug-1986,1720.9
Sep-1986,1705.7
Oct-1986,1816.4
Nov-1986,1774.7
Dec-1986,2073.6
Jan-1987,1830.7
Feb-1987,1710.1
Mar-1987,1791.0
Apr-1987,1824.4
May-1987,1823.3
Jun-1987,1761.9
Jul-1987,1856.9
Aug-1987,1821.0
Sep-1987,1830.0
Oct-1987,1942.4
Nov-1987,1885.9
Dec-1987,2272.4
Jan-1988,1885.1
Feb-1988,1845.2
Mar-1988,2021.6
Apr-1988,1937.5
May-1988,1907.0
Jun-1988,1925.7
Jul-1988,1932.6
Aug-1988,1977.6
Sep-1988,2035.2
Oct-1988,2050.7
Nov-1988,2109.5
Dec-1988,2549.7
Jan-1989,2056.1
Feb-1989,1990.2
Mar-1989,2261.2
Apr-1989,2104.6
May-1989,2139.0
Jun-1989,2170.3
Jul-1989,2163.1
Aug-1989,2255.1
Sep-1989,2262.6
Oct-1989,2221.7
Nov-1989,2327.5
Dec-1989,2788.4
Jan-1990,2277.4
Feb-1990,2185.3
Mar-1990,2439.5
Apr-1990,2286.0
May-1990,2382.9
Jun-1990,2361.9
Jul-1990,2302.9
Aug-1990,2469.0
Sep-1990,2307.8
Oct-1990,2442.4
Nov-1990,2553.4
Dec-1990,2887.2
Jan-1991,2551.9
Feb-1991,2341.5
Mar-1991,2593.6
Apr-1991,2402.9
May-1991,2584.5
Jun-1991,2410.0
Jul-1991,2540.0
Aug-1991,2684.0
Sep-1991,2452.1
Oct-1991,2679.6
Nov-1991,2693.4
Dec-1991,2984.8
Jan-1992,2684.5
Feb-1992,2562.4
Mar-1992,2643.1
Apr-1992,2707.1
May-1992,2697.5
Jun-1992,2584.2
Jul-1992,2754.7
Aug-1992,2670.5
Sep-1992,2665.6
Oct-1992,2858.5
Nov-1992,2700.6
Dec-1992,3221.5
Jan-1993,2789.1
Feb-1993,2610.6
Mar-1993,2795.8
Apr-1993,2832.7
May-1993,2773.6
Jun-1993,2714.1
Jul-1993,2876.2
Aug-1993,2734.0
Sep-1993,2805.7
Oct-1993,2901.8
Nov-1993,2872.4
Dec-1993,3433.4
Jan-1994,2834.4
Feb-1994,2724.2
Mar-1994,3048.7
Apr-1994,2837.4
May-1994,2848.7
Jun-1994,2869.9
Jul-1994,2953.3
Aug-1994,2964.7
Sep-1994,3013.5
Oct-1994,3081.6
Nov-1994,3082.7
Dec-1994,3700.0
Jan-1995,3063.0
Feb-1995,2949.1
Mar-1995,3244.4
Apr-1995,3151.0
May-1995,3200.0
Jun-1995,3179.6
Jul-1995,3212.0
Aug-1995,3342.3
Sep-1995,3301.7
Oct-1995,3369.8
Nov-1995,3485.3
Dec-1995,3996.9
Jan-1996,3357.2
Feb-1996,3339.0
Mar-1996,3468.7
Apr-1996,3346.5
May-1996,3515.8
Jun-1996,3329.3
Jul-1996,3433.3
Aug-1996,3577.3
Sep-1996,3377.2
Oct-1996,3648.3
Nov-1996,3649.2
Dec-1996,4034.4
Jan-1997,3688.2
Feb-1997,3363.0
Mar-1997,3676.9
